name	einwohner	id
Reisiswil	174	336.0
Renan (BE)	927	441.0
Reutigen	1000	767.0
Riggisberg	2565	879.0
Ringgenberg (BE)	2574	590.0
Roches (BE)	201	704.0
Roggwil (BE)	4056	337.0
Rohrbach	1484	338.0
Rohrbachgraben	394	339.0
Romont (BE)	204	442.0
Röthenbach im Emmental	1169	904.0
Rubigen	2877	623.0
Rüderswil	2392	905.0
Rüdtligen-Alchenflüh	2419	420.0
Rüeggisberg	1761	880.0
Rüegsau	3224	956.0
Rumendingen	79	421.0
Rumisberg	482	987.0
Rümligen	437	881.0
Rüschegg	1676	853.0
Rüti bei Büren	857	393.0
Rüti bei Lyssach	167	422.0
Rütschelen	566	340.0
Saanen	6817	843.0
Safnern	1935	746.0
Saicourt	644	706.0
Saint-Imier	5140	443.0
Sauge	819	
Saules (BE)	152	707.0
Saxeten	93	591.0
Schangnau	905	906.0
Schattenhalb	550	786.0
Scheuren	437	747.0
Schüpfen	3773	311.0
Schwadernau	670	748.0
Schwanden bei Brienz	630	592.0
Schwarzenburg	6744	855.0
Schwarzhäusern	525	341.0
Schwendibach	237	937.0
Seeberg	1529	988.0
Seedorf (BE)	3084	312.0
Seftigen	2161	883.0
Signau	2624	907.0
Sigriswil	4829	938.0
Siselen	603	499.0
Sonceboz-Sombeval	1952	444.0
Sonvilier	1237	445.0
Sorvilier	288	711.0
Spiez	12870	768.0
St. Stephan	1330	793.0
Steffisburg	15692	939.0
Stettlen	3137	358.0
Stocken-Höfen	1012	930.0
Studen (BE)	3318	749.0
Sumiswald	5026	957.0
Sutz-Lattrigen	1391	750.0
Täuffelen	2890	751.0
Tavannes	3570	713.0
Teuffenthal (BE)	166	940.0
Thierachern	2471	941.0
Thörigen	1158	989.0
Thun	43632	942.0
Thunstetten	3425	342.0
Toffen	2526	884.0
Trachselwald	962	958.0
Tramelan	4580	446.0
Treiten	411	500.0
Trub	1324	908.0
Trubschachen	1463	909.0
Tschugg	472	501.0
Twann-Tüscherz	1163	756.0
Uebeschi	685	943.0
Uetendorf	5843	944.0
Unterlangenegg	1008	945.0
Unterseen	5852	593.0
Ursenbach	879	344.0
Urtenen-Schönbühl	6317	551.0
Uttigen	2129	885.0
Utzenstorf	4376	552.0
Valbirse	4012	682.0
Vechigen	5345	359.0
Villeret	924	448.0
Vinelz	877	502.0
Wachseldorn	233	946.0
Wald BE	1174	888.0
Walkringen	1768	626.0
Walliswil bei Niederbipp	217	990.0
Walliswil bei Wangen	606	991.0
Walperswil	1032	754.0
Walterswil (BE)	541	959.0
Wangen an der Aare	2321	992.0
Wangenried	405	993.0
Wattenwil	3018	886.0
Wengi	608	394.0
Wichtrach	4354	632.0
Wiedlisbach	2378	995.0
Wiggiswil	103	553.0
Wilderswil	2669	594.0
Wiler bei Utzenstorf	985	554.0
Wileroltigen	372	671.0
Willadingen	204	423.0
Wimmis	2559	769.0
Wohlen bei Bern	9266	360.0
Wolfisberg	187	996.0
Worb	11479	627.0
Worben	2411	755.0
Wynau	1660	345.0
Wynigen	2093	424.0
Wyssachen	1108	960.0
Zäziwil	1579	628.0
Zielebach	319	556.0
Zollikofen	10471	361.0
Zuzwil (BE)	570	557.0
Zweisimmen	3040	794.0
Zwieselberg	329	947.0
